Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
DL841,EnglishandEqualityStudies,277,277,276,,,False,False,False
DL843,Film,987,874,,,,True,,False
DL844,Television,566,NaN,,,,True,,False
DL845,DesignforFilm(degreeoptions),628,NaN,,,,True,,False
GC200,Business,269,242,252,252,269,False,False,False
GC201,AccountingandFinance,260,226,303,303,251,False,False,False
GC230,ComputingScience,300,289,335,325,228,False,False,False
GC300,Business,264,264,429,,251,False,False,False
GC301,AccountingandFinance,NaN,251,253,253,307,False,False,False
GC302,Business-HRM,377,377,,,269,False,False,False
GC307,Business(Marketing),289,270,,,,False,,False
GC400,Business,250,228,248,248,246,False,False,False
GC401,AccountingandFinance,242,242,240,227,181,False,False,False
GC402,Business(HRM),NaN,NaN,264,236,217,False,False,False
GC403,Law,245,242,244,228,225,False,False,False
GC407,Business(Marketing),264,264,280,280,246,False,False,False
GC430,ComputingScience,251,251,252,220,217,False,False,False
GC450,CommunicationsandMediaProduction,225,225,254,254,227,False,False,False
GC462,DesignCommunication(portfolio),300,NaN,,,,True,True,False
GC489,InteriorArchitecture(portfolio),288,274,254,,267,True,True,True
GC494,FashionDesign(portfolio),351,NaN,337,217,NaN,True,True,True
BY001,Business,210,210,,,,False,,False
ID001,AccountingandFinance,NaN,NaN,203,,229,False,False,False
ID002,BusinessStudies,NaN,NaN,294,,285,False,False,False
AD101,FirstYearArtandDesign(CommonEntryportfolio),554,NaN,NaN,,NaN,True,True,True
AD102,GraphicDesignandMovingImageDesign(portfolio),538,NaN,NaN,,NaN,True,True,True
AD103,TextileandSurfaceDesignandJewelleryandObjec,505,NaN,NaN,,NaN,True,True,True
AD202,EducationandDesignorFineArt(SecondLevelTea,591,NaN,NaN,,NaN,True,True,True
AD204,FineArt(portfolio),514,NaN,NaN,,NaN,True,True,True
AD211,FashionDesign(portfolio),760,679,NaN,,NaN,True,True,True
AD212,ProductDesign(portfolio),413,NaN,NaN,,NaN,True,True,True
